formula,type,activity,Syngony,shape,"length, nm","width, nm","depth, nm",Sufrace,surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,Subtype,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C"
CeO2,meo,oxidase,7,spherical,5,5,5,cover,poly(acrylic acid),0,0,18000.00,6.9000,0.000360000,TMB,TMB,0.6000,1.5000,0.000,,5,37
CeO2,meo,oxidase,7,spherical,5,5,5,cover,poly(acrylic acid),0,0,18000.00,2.4000,0.000100000,TMB,TMB,0.6000,1.5000,0.000,,6,37
CeO2,meo,oxidase,7,spherical,5,5,5,cover,poly(acrylic acid),0,0,18000.00,1.3000,0.000100000,TMB,TMB,0.3000,1.5000,0.000,,7,37
CeO2,meo,oxidase,7,spherical,12,12,12,cover,poly(acrylic acid),0,0,18000.00,1.9000,0.000600000,TMB,TMB,0.1500,1.5000,0.000,,4,37
CeO2,meo,oxidase,7,spherical,14,14,14,cover,dextran,0,0,10000.00,1.8000,0.000500000,TMB,TMB,0.1500,1.5000,0.000,,4,37
CeO2,meo,oxidase,7,spherical,100,100,100,cover,dextran,0,0,10000.00,0.8000,0.000300000,TMB,TMB,0.1500,1.5000,0.000,,4,37
MnO2,meo,oxidase,4,spherical,4500,4500,4500,cover,Poly(glycidyl methacrylate),poly(N-Vinylpyrrolidone),0,40000.00,0.5900,0.001340000,OPD,OPD,0.0500,0.4000,0.000,1.2500000,7,25
MnO2,meo,oxidase,4,spherical,4500,4500,4500,cover,Poly(glycidyl methacrylate),poly(N-Vinylpyrrolidone),0,40000.00,2.5950,0.008770000,OPD,OPD,0.0500,0.4000,0.000,1.2500000,7,25
Co3O4,meo,catalase,7,cube,19,19,19,naked,naked,0,0,0.00,34.3000,0.011200000,H2O2,H2O2,2.0000,30.0000,0.000,0.0200000,10,25
Mn3O4,meo,catalase,4,cube,50,50,50,naked,naked,0,0,0.00,0.4410,0.005300000,H2O2,H2O2,0.0010,2.0000,0.000,0.0050000,7,25
Mn3O4,meo,catalase,4,polyhedrones,40,10,10,naked,naked,0,0,0.00,0.6130,0.005800000,H2O2,H2O2,0.0010,2.0000,0.000,0.0050000,7,25
Mn3O4,meo,catalase,4,hexagonal plates,130,130,10,naked,naked,0,0,0.00,0.3670,0.007400000,H2O2,H2O2,0.0010,2.0000,0.000,0.0050000,7,25
Mn3O4,meo,catalase,4,flakes,60,60,10,naked,naked,0,0,0.00,0.6900,0.021800000,H2O2,H2O2,0.0010,2.0000,0.000,0.0050000,7,25
Mn3O4,meo,catalase,4,flowers,140,140,140,naked,naked,0,0,0.00,0.5200,0.122100000,H2O2,H2O2,0.0010,2.0000,0.000,0.0050000,7,25
RuO2,meo,catalase,7,sphere,2,2,2,naked,naked,0,0,0.00,3.5900,0.038167000,H2O2,H2O2,0.2000,2.0000,0.000,0.0200000,0,0
Rh,me,peroxidase,7,spherical,6.5,6.5,6.5,naked,naked,0,0,,0.1980,0.000067800,TMB + H2O2,TMB,0.1000,1.5000,0.100,,4,35
Rh,me,peroxidase,7,spherical,6.5,6.5,6.5,naked,naked,0,0,,0.3800,0.000241000,H2O2 + TMB,H2O2,0.0250,0.5000,1.500,,4,35
MoS2,salt,peroxidase,6,flake,390,390,390,naked,naked,0,0,0.00,0.2200,0.000137000,TMB + H2O2,TMB,1.0000,10.0000,10.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,naked,naked,0,0,0.00,1.2200,0.000132000,H2O2 + TMB,H2O2,0.0010,30.0000,1.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,naked,naked,0,0,0.00,0.9700,0.000063000,ABTS + H2O2,ABTS,0.1000,1.0000,10.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,naked,naked,0,0,0.00,6.7400,0.000192000,H2O2 + TMB,H2O2,0.0010,30.0000,1.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,cover,cysteine,0,0,121.16,0.1700,0.000141000,TMB + H2O2,TMB,1.0000,10.0000,10.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,cover,cysteine,0,0,121.16,1.9800,0.000152000,H2O2 + TMB,H2O2,0.0010,30.0000,1.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,cover,cysteine,0,0,121.16,0.1500,0.000161000,ABTS + H2O2,ABTS,0.1000,1.0000,10.000,0.0330000,4,25
MoS2,salt,peroxidase,6,flake,390,390,390,cover,cysteine,0,0,121.16,8.0600,0.000992000,H2O2 + TMB,H2O2,0.0010,30.0000,1.000,0.0330000,4,25
MoS2,salt,peroxidase,6,nanosheet,390,390,390,naked,naked,0,0,0.00,0.0860,0.000132000,TMB + H2O2,TMB,0.0500,1.7500,,0.1000000,4,35
MoS2,salt,peroxidase,6,nanosheet,390,390,390,naked,naked,0,0,0.00,0.1220,0.000136000,H2O2 + TMB,H2O2,0.0010,60.0000,1.000,0.1000000,4,35
MoS2,salt,peroxidase,6,nanosheet,390,390,390,cover,poly(ethylene oxide),0,0,5000.00,0.0470,0.000178000,TMB + H2O2,TMB,0.0500,1.7500,,0.1000000,4,35
MoS2,salt,peroxidase,6,nanosheet,390,390,390,cover,poly(ethylene oxide),0,0,5000.00,0.1080,0.000106000,H2O2 + TMB,H2O2,0.0010,60.0000,1.000,0.1000000,4,35
Co9S8,salt,peroxidase,7,urchin-like,15000,15000,15000,naked,naked,0,0,0.00,1.6400,0.000990000,TMB + H2O2,TMB,0.2500,1.5000,100.000,0.0500000,3,35
Co9S8,salt,peroxidase,7,urchin-like,15000,15000,15000,naked,naked,0,0,0.00,7.3900,0.000350000,H2O2 + TMB,H2O2,0.0010,100.0000,0.500,0.0500000,3,35
Mo0.1CeO2,bimeo,peroxidase,7,spherical,5,5,5,naked,naked,0,0,0.00,0.0010,0.000009640,TMB + H2O2,TMB,0.2500,2.0000,5.000,0.6000000,4,50
Mo0.1CeO2,bimeo,peroxidase,7,spherical,5,5,5,naked,naked,0,0,0.00,8.8500,0.000080100,H2O2 + TMB,H2O2,0.0010,5.0000,50.000,0.6000000,4,50
CeO2,meo,peroxidase,7,spherical,10,10,10,naked,naked,0,0,0.00,0.6230,0.000019500,TMB + H2O2,TMB,0.2500,2.0000,5.000,0.6000000,4,45
CeO2,meo,peroxidase,7,spherical,10,10,10,naked,naked,0,0,0.00,0.0670,0.000006880,H2O2 + TMB,H2O2,0.0010,5.0000,50.000,0.6000000,4,45
CuO/Pt,comp,peroxidase,2,flower,350,350,350,cover,poly(N-Vinylpyrrolidone),BSA,0,66500.00,0.3300,0.000278600,TMB + H2O2,TMB,0.1000,1.8000,6.000,1.0000000,4,35
CuO/Pt,comp,peroxidase,2,flower,350,350,350,cover,poly(N-Vinylpyrrolidone),BSA,0,66500.00,0.7500,0.000128800,H2O2 + TMB,H2O2,0.2500,6.0000,0.500,1.0000000,4,35
Cu,me,peroxidase,7,,1,1,1,additional,naked,BSA,0,66463.00,0.6480,0.000059600,TMB + H2O2,TMB,0.1000,1.0000,50.000,,6,30
Cu,me,peroxidase,7,,1,1,1,additional,naked,BSA,0,66463.00,29.1600,0.000042200,H2O2 + TMB,H2O2,10.0000,200.0000,0.500,,6,30
Cu(OH)2,salt,peroxidase,3,multipod superstructures,150,150,150,additional,naked,poly(N-Vinylpyrrolidone),0,55000.00,1.3350,0.000421000,TMB + H2O2,TMB,0.0500,0.9000,0.530,0.0600000,4.5,25
Cu(OH)2,salt,peroxidase,3,multipod superstructures,150,150,150,additional,naked,poly(N-Vinylpyrrolidone),0,55000.00,0.3790,0.000391000,H2O2 + TMB,H2O2,0.0500,0.8000,0.800,0.0600000,4.5,25
Pt,me,peroxidase,7,spherical,4.4,4.4,4.4,naked,naked,0,0,0.00,0.1270,0.000020000,TMB + H2O2,TMB,0.0625,0.5000,1.000,,4,35
Pt,me,peroxidase,7,spherical,4.4,4.4,4.4,naked,naked,0,0,0.00,1.1400,0.000031000,H2O2 + TMB,H2O2,0.2500,10.0000,0.250,,4,35
V2O5,meo,peroxidase,3,rod-like,500,25,25,naked,naked,0,0,0.00,0.7380,0.018500000,TMB + H2O2,TMB,0.0010,0.8000,,,4,25
V2O5,meo,peroxidase,3,rod-like,500,25,25,naked,naked,0,0,0.00,0.2320,0.012900000,H2O2 + TMB,H2O2,0.0010,7.0000,,,4,25
Os,me,peroxidase,6,spherical,1.7,1.7,1.7,cover,trisodium citrate,0,0,192.12,0.0960,0.000412000,TMB + H2O2,TMB,0.0650,0.1300,0.250,0.0475000,4,55
Os,me,peroxidase,6,spherical,1.7,1.7,1.7,cover,trisodium citrate,0,0,192.12,3.8800,0.000565000,H2O2 + TMB,H2O2,5.0000,18.0000,0.300,0.0475000,4,55
Cu-CuFe2O4,comp,peroxidase,7,nanosheet,480,41.5,41.5,naked,naked,0,0,0.00,0.6900,0.000168700,TMB + H2O2,TMB,0.1000,1.2000,0.060,0.2500000,4,35
Cu-CuFe2O4,comp,peroxidase,7,nanosheet,480,41.5,41.5,naked,naked,0,0,0.00,0.0870,0.000321800,H2O2 + TMB,H2O2,0.0500,1.0000,0.830,0.2500000,4,35
Ru/C,comp,peroxidase,7,honeycomb-like,1.7,1.7,1.7,naked,naked,0,0,0.00,0.0710,0.000022850,TMB + H2O2,TMB,0.0200,0.1000,2.000,20.0000000,6,30
Ru/C,comp,peroxidase,7,honeycomb-like,1.7,1.7,1.7,naked,naked,0,0,0.00,0.9690,0.000017900,H2O2 + TMB,H2O2,0.0100,4.0000,0.100,20.0000000,6,30
Ru,me,peroxidase,7,octahedral frame,6.2,6.2,1.8,cover,poly(N-Vinylpyrrolidone),0,0,55000.00,0.0603,0.000134000,TMB + H2O2,TMB,0.0100,0.6000,2.000,,4,22
Ru,me,peroxidase,7,octahedral frame,6.2,6.2,1.8,cover,poly(N-Vinylpyrrolidone),0,0,55000.00,318.0000,0.000074100,H2O2 + TMB,H2O2,0.0100,600.0000,0.800,,4,22
Pd,me,peroxidase,7,spherical,5.6,5.6,5.6,cover,poly(N-Vinylpyrrolidone),0,0,55000.00,0.0470,0.000380000,TMB + H2O2,TMB,0.0100,0.6000,2.000,,4,22
Pd,me,peroxidase,7,spherical,5.6,5.6,5.6,cover,poly(N-Vinylpyrrolidone),0,0,55000.00,730.0000,0.000140000,H2O2 + TMB,H2O2,0.0100,600.0000,0.800,,4,22
Au,me,peroxidase,7,spherical,15,15,15,cover,sodium citrate,0,0,192.12,0.0044,0.000025000,H2O2 + TMB,H2O2,0.0000,0.1000,,,3,25
Pt,me,peroxidase,7,spherical,3.21,3.21,3.21,cover,Poly(ethylenimine),0,0,70000.00,2.0200,0.001150000,TMB + H2O2,TMB,0.0180,0.3570,300.000,,4,30
Pt,me,peroxidase,7,spherical,3.21,3.21,3.21,cover,Poly(ethylenimine),0,0,70000.00,43.6000,0.000085000,H2O2 + TMB,H2O2,39.0000,177.0000,0.800,,4,30
MoS2,salt,peroxidase,,spherical,5,5,5,cover,poly(N-Vinylpyrrolidone),0,0,58000.00,0.2320,0.000045600,TMB + H2O2,TMB,0.5000,2.0000,10.000,0.0100000,4,25
MoS2,salt,peroxidase,,spherical,5,5,5,cover,poly(N-Vinylpyrrolidone),0,0,58000.00,0.3660,0.000047600,H2O2 + TMB,H2O2,2.0000,12.5000,1.000,0.0100000,4,25
Fe/CeO2,comp,peroxidase,7,rod-like,7.54,7.54,7.54,naked,naked,0,0,0.00,0.1760,0.000086000,TMB + H2O2,TMB,0.1000,1.0000,100.000,0.1000000,4,40
Fe/CeO2,comp,peroxidase,7,rod-like,7.54,7.54,7.54,naked,naked,0,0,0.00,47.6000,0.000166000,H2O2 + TMB,H2O2,20.0000,150.0000,0.800,0.1000000,4,40
TiO2,meo,peroxidase,4,nanowires,70,40,40,naked,naked,0,0,0.00,0.0480,0.000003700,TMB + H2O2,TMB,0.0010,0.8000,20.000,1.0000000,4,50
TiO2,meo,peroxidase,4,nanowires,70,40,40,naked,naked,0,0,0.00,2.7900,0.000004800,H2O2 + TMB,H2O2,5.0000,100.0000,0.800,1.0000000,4,50
TiO2/TiN,comp,peroxidase,,nanowires,100,50,50,naked,naked,0,0,0.00,0.0830,0.000027500,TMB + H2O2,TMB,0.0010,0.8000,20.000,1.0000000,4,50
TiO2/TiN,comp,peroxidase,,nanowires,100,50,50,naked,naked,0,0,0.00,4.9600,0.000030800,H2O2 + TMB,H2O2,5.0000,100.0000,0.800,1.0000000,4,50
TiN,salt,peroxidase,7,spherical,70,70,70,naked,naked,0,0,0.00,0.0740,0.000100000,TMB + H2O2,TMB,0.0010,0.8000,20.000,1.0000000,4,50
TiN,salt,peroxidase,7,spherical,70,70,70,naked,naked,0,0,0.00,10.2900,0.000078400,H2O2 + TMB,H2O2,5.0000,100.0000,0.800,1.0000000,4,50
TiN,salt,peroxidase,7,nanobelt,20,20,20,naked,naked,0,0,0.00,0.0340,0.000066100,TMB + H2O2,TMB,0.0010,0.8000,20.000,1.0000000,4,50
TiN,salt,peroxidase,7,nanobelt,20,20,20,naked,naked,0,0,0.00,9.2700,0.000055600,H2O2 + TMB,H2O2,5.0000,100.0000,0.800,1.0000000,4,50
TiN,salt,peroxidase,7,wire,18,18,18,naked,naked,0,0,0.00,0.0910,0.000072600,TMB + H2O2,TMB,0.0010,0.8000,20.000,1.0000000,4,50
TiN,salt,peroxidase,7,wire,18,18,18,naked,naked,0,0,0.00,11.7100,0.000056700,H2O2 + TMB,H2O2,5.0000,100.0000,0.800,1.0000000,4,50
CuO,meo,peroxidase,2,rod-like,2200,70.1,70.1,naked,naked,0,0,0.00,0.0600,0.000041000,ABTS + H2O2,ABTS,0.0100,0.3000,100.000,0.0250000,4,45
CuO,meo,peroxidase,2,rod-like,2200,70.1,70.1,naked,naked,0,0,0.00,14.8000,0.000006000,H2O2 + TMB,H2O2,1.0000,"1,000.0000",0.100,0.0250000,4,45
Cu-Fe4(Fe(CN)6)3,comp,peroxidase,,spherical,50,50,50,cover,poly(ethylene oxide),0,0,5000.00,0.6000,0.000179000,TMB + H2O2,TMB,0.0010,0.5000,0.400,0.0100000,3,35
Cu-Fe4(Fe(CN)6)3,comp,peroxidase,,spherical,50,50,50,cover,poly(ethylene oxide),0,0,5000.00,0.1400,0.000120000,TMB + H2O2,H2O2,0.0010,5.0000,0.400,0.0100000,3,35
Ir,me,peroxidase,7,spherical,1.5,1.5,1.5,cover,poly(N-Vinylpyrrolidone),0,0,58000.00,0.0200,0.000108000,TMB + H2O2,TMB,0.0010,0.5000,50.000,0.0006250,4.5,25
Ir,me,peroxidase,7,spherical,1.5,1.5,1.5,cover,poly(N-Vinylpyrrolidone),0,0,58000.00,266.0000,0.000385000,TMB + H2O2,H2O2,0.0010,"1,000.0000",0.500,0.0006250,4.5,25
Pt,me,peroxidase,7,spherical,1.87,1.87,1.87,cover,apoferritin,0,0,440000.00,0.2200,0.000558000,TMB + H2O2,TMB,0.0070,1.0000,8.000,0.1500000,4,37
Pt,me,peroxidase,7,spherical,1.87,1.87,1.87,cover,apoferritin,0,0,440000.00,187.2500,0.320000000,TMB + H2O2,H2O2,4.0000,100.0000,0.210,0.1500000,4,37
RuO2,meo,peroxidase,7,spherical,4,4,4,naked,naked,0,0,0.00,0.2360,0.000006000,TMB + H2O2,TMB,0.0500,0.6000,200.000,0.0010000,4,
RuO2,meo,peroxidase,7,spherical,4,4,4,naked,naked,0,0,0.00,212.0000,0.000135000,H2O2 + TMB,H2O2,0.0100,800.0000,0.400,0.0010000,4,
Mn3O4,meo,peroxidase,4,cubic,36,36,36,naked,naked,0,0,0.00,0.9890,0.000303333,H2O2 + GSH,H2O2,0.0010,2.0000,2.000,0.0100000,7.4,25
Mn3O4,meo,peroxidase,4,polyhedral,49,49,49,naked,naked,0,0,0.00,2.8450,0.000281667,H2O2 + GSH,H2O2,0.0010,2.0000,2.000,0.0100000,7.4,25
Mn3O4,meo,peroxidase,4,hexagonal plates,101,101,101,naked,naked,0,0,0.00,1.2600,0.000236667,H2O2 + GSH,H2O2,0.0010,2.0000,2.000,0.0100000,7.4,25
Mn3O4,meo,peroxidase,4,flake,89,89,89,naked,naked,0,0,0.00,0.4310,0.000651667,H2O2 + GSH,H2O2,0.0010,2.0000,2.000,0.0100000,7.4,25
Mn3O4,meo,peroxidase,4,flower,167,167,167,naked,naked,0,0,0.00,0.1900,0.000908333,H2O2 + GSH,H2O2,0.0010,2.0000,2.000,0.0100000,7.4,25
Mn3O4,meo,peroxidase,4,spherical,180,180,180,naked,naked,0,0,0.00,0.1960,0.000933333,H2O2 + GSH,H2O2,0.0010,1.7500,2.000,0.0100000,7,25
Mn3O4,meo,peroxidase,4,spherical,180,180,180,naked,naked,0,0,0.00,1.1600,0.001300000,GSH + H2O2,GSH,0.0010,5.0000,1.000,0.0100000,7,25
MnO2,meo,peroxidase,3,spherical,4.5,4.5,4.5,cover,BSA,0,0,66500.00,0.3100,0.000082100,OPD + H2O2,OPD,0.7500,8.0000,3.300,0.0037000,4,35
MnO2,meo,peroxidase,3,spherical,4.5,4.5,4.5,cover,BSA,0,0,66500.00,0.1200,0.000057100,H2O2 + OPD,H2O2,0.2500,4.0000,0.170,0.0037000,4,35
Pt0.1Au,bime,peroxidase,7,spherical,11.6,11.6,11.6,additional,naked,0,trisodium citrate,192.12,0.1130,0.000018000,AR + H2O2,AR,0.0100,0.1000,2.500,,7,25
Pt0.1Au,bime,peroxidase,7,spherical,11.6,11.6,11.6,additional,naked,0,trisodium citrate,192.12,0.4360,0.000000664,H2O2 + AR,H2O2,0.1000,1.0000,0.010,,7,25
Pt0.5Ag0.5,bime,peroxidase,7,octahedral,33.8,33.8,33.8,additional,naked,Poly(allylamine hydrochloride),0,150000.00,0.2500,0.000105700,TMB + H2O2,TMB,0.1000,4.0000,1.000,0.0200000,4,40
Pt0.5Ag0.5,bime,peroxidase,7,octahedral,33.8,33.8,33.8,additional,naked,Poly(allylamine hydrochloride),0,150000.00,0.3500,0.000159600,H2O2 + TMB,H2O2,0.1000,8.0000,1.000,0.0200000,4,40
Pt0.5Ag0.5,bime,peroxidase,7,octahedral,34.5,34.5,34.5,additional,naked,Poly(allylamine hydrochloride),0,150000.00,0.3800,0.000330400,TMB + H2O2,TMB,0.1000,4.0000,1.000,0.0200000,4,40
Pt0.5Ag0.5,bime,peroxidase,7,octahedral,34.5,34.5,34.5,additional,naked,Poly(allylamine hydrochloride),0,150000.00,0.8600,0.000347500,H2O2 + TMB,H2O2,0.1000,8.0000,1.000,0.0200000,4,40
Au@Pt,core-shell,peroxidase,,rod-like,60,18,18,additional,naked,0,Cetrimonium bromide,364.45,0.0200,0.000029100,TMB + H2O2,TMB,0.0200,0.0930,2.000,,4.5,37
Au@Pt,core-shell,peroxidase,,rod-like,60,18,18,additional,naked,0,Cetrimonium bromide,364.45,76.0000,0.000750000,H2O2 + TMB,H2O2,0.0010,0.8500,0.130,,4.5,37
Au@PtAg0.33,core-shell,peroxidase,,rod-like,79,27,27,additional,naked,0,Cetrimonium bromide,364.45,0.0160,0.000017600,TMB + H2O2,TMB,0.0100,0.0930,2.000,,4.5,37
Au@PtAg0.33,core-shell,peroxidase,,rod-like,79,27,27,additional,naked,0,Cetrimonium bromide,364.45,92.0000,0.000540000,H2O2 + TMB,H2O2,0.0010,0.8500,0.130,,4.5,37
Au@PtAg0.5,core-shell,peroxidase,,rod-like,60,20,20,additional,naked,0,Cetrimonium bromide,364.45,0.0100,0.000012900,TMB + H2O2,TMB,0.0100,0.0530,2.000,,4.5,37
Au@PtAg0.5,core-shell,peroxidase,,rod-like,60,20,20,additional,naked,0,Cetrimonium bromide,364.45,111.8000,0.000500000,H2O2 + TMB,H2O2,0.0010,0.8500,0.130,,4.5,37
CoFe2O4,bimeo,peroxidase,7,flower,164.8,164.8,164.8,cover,poly(ethylene oxide),0,ethylene glycol,3400.00,180.0000,0.003650000,H2O2 + TMB,H2O2,1.0000,"1,600.0000",0.050,0.0100000,6.8,
Ir0.2Pt0.8,bime,peroxidase,7,spherical,4.1,4.1,4.1,cover,poly(N-Vinylpyrrolidone),0,ethylene glycol,40000.00,0.1600,0.002250000,TMB + H2O2,TMB,0.0250,0.5000,0.500,0.0037000,5,25
Ir0.2Pt0.8,bime,peroxidase,7,spherical,4.1,4.1,4.1,cover,poly(N-Vinylpyrrolidone),0,ethylene glycol,40000.00,0.7500,0.002660000,H2O2 + TMB,H2O2,0.0010,1.2000,0.010,0.0037000,5,25
Au@CeO2,core-shell,peroxidase,7,spherical,75,75,75,additional,naked,0,Cetrimonium bromide,364.45,0.2900,0.000039000,TMB + H2O2,TMB,0.0500,5.0000,"2,000.000",0.0400000,4,37
Au@CeO2,core-shell,peroxidase,7,spherical,75,75,75,additional,naked,0,Cetrimonium bromide,364.45,44.6900,0.000022300,H2O2 + TMB,H2O2,0.0600,3.0000,1.000,0.0400000,4,37
Co3O4/MoO3 ,comp,peroxidase,,flake,,,,cover,2-methylimidazole,0,0,,0.0352,0.000028300,TMB + H2O2,TMB,0.0200,0.3000,0.200,0.0120000,3.5,40
Co3O4/MoO3 ,comp,peroxidase,,flake,,,,cover,2-methylimidazole,0,0,,0.1340,0.000029100,H2O2 + TMB,H2O2,0.0500,1.0000,0.100,0.0120000,3.5,40
Co3O4,meo,peroxidase,7,flake,,,,naked,naked,0,0,,0.1120,0.000004700,TMB + H2O2,TMB,0.0200,0.3000,0.200,0.0120000,3.5,40
Co3O4,meo,peroxidase,7,flake,,,,naked,naked,0,0,,0.2540,0.000003890,H2O2 + TMB,H2O2,0.0500,1.0000,0.100,0.0120000,3.5,40
Ag3PO4,salt,peroxidase,7,spherical,850,850,850,naked,naked,0,0,,0.0923,no,TMB + H2O2,TMB,0.0010,0.3000,,0.1000000,4,37
Fe2O3-Fe4(Fe(CN)6)3,comp,peroxidase,,spherical,10.5,10.5,10.5,naked,naked,0,0,0.00,0.3070,0.001060000,TMB + H2O2,TMB,0.0010,0.9000,630.000,,4.6,25
Fe2O3-Fe4(Fe(CN)6)4,comp,peroxidase,,spherical,10.5,10.5,10.5,naked,naked,0,0,0.00,323.6000,0.001170000,H2O2 + TMB,H2O2,0.0010,850.0000,0.830,,4.6,25
Fe3S4,salt,peroxidase,7,spherical,76,76,76,additional,naked,Cetrimonium bromide,L-cysteine,364.45,0.1600,0.000011460,TMB + H2O2,TMB,0.0010,0.8000,1.200,0.0200000,6.78,
Fe3S4,salt,peroxidase,7,spherical,76,76,76,additional,naked,Cetrimonium bromide,L-cysteine,364.45,1.1580,0.000021680,H2O2 + TMB,H2O2,0.0010,1.8000,0.600,0.0200000,6.78,
ZnFe2O4,bimeo,peroxidase,7,spherical,200,200,200,additional,naked,poly(ethylene oxide),ethylene glycol,20000.00,0.8500,0.000133100,TMB + H2O2,TMB,0.2000,1.6000,0.200,0.0400000,4,40
ZnFe2O4,bimeo,peroxidase,7,spherical,200,200,200,additional,naked,poly(ethylene oxide),ethylene glycol,20000.00,1.6600,0.000077400,H2O2 + TMB,H2O2,0.0010,16.0000,0.320,0.0400000,4,40
Fe0.5Mn0.5Fe2O4,bimeo,peroxidase,7,spherical,8,8,8,naked,naked,0,0,0.00,0.1390,0.004500000,TMB + H2O2,TMB,0.2500,0.7500,800.000,,4,40
Fe0.5Mn0.5Fe2O4,bimeo,peroxidase,7,spherical,8,8,8,naked,naked,0,0,0.00,310.0000,0.003630000,H2O2 + TMB,H2O2,0.0010,"1,800.0000",0.800,,4,40
FeSe,bime,peroxidase,4,film,30,30,20,naked,naked,0,0,0.00,0.0400,0.000089000,TMB + H2O2,TMB,0.0010,0.9100,13.000,,4,30
FeSe,bime,peroxidase,4,film,30,30,20,naked,naked,0,0,0.00,13.2000,0.000154000,H2O2 + TMB,H2O2,0.0010,45.0000,0.100,,4,30
FeS,salt,peroxidase,4,flower-like film,40,40,24,naked,naked,0,0,0.00,0.0800,0.000073000,TMB + H2O2,TMB,0.0010,0.9100,13.000,,4,30
FeS,salt,peroxidase,4,flower-like film,40,40,24,naked,naked,0,0,0.00,7.4400,0.000117000,H2O2 + TMB,H2O2,0.0010,45.0000,0.100,,4,30
MnSe,bime,peroxidase,7,polyhedral,2500,2500,2500,additional,naked,0,Sodium dodecyl sulfate,288.38,0.0348,0.000734000,TMB + H2O2,TMB,0.0010,1.0000,200.000,0.4000000,5,20
MnSe,bime,peroxidase,7,polyhedral,2500,2500,2500,additional,naked,0,Sodium dodecyl sulfate,288.38,87.0000,0.000047800,H2O2 + TMB,H2O2,0.0010,500.0000,0.300,0.4000000,5,20
CuS,salt,peroxidase,6,spherical,45,45,45,naked,naked,0,0,0.00,0.0070,0.000089600,TMB + H2O2,TMB,0.0010,0.0750,13.000,0.0066700,4,40
CuS,salt,peroxidase,6,spherical,45,45,45,naked,naked,0,0,0.00,12.0000,0.000219000,H2O2 + TMB,H2O2,0.0010,42.0000,0.100,0.0066700,4,40
CdS,salt,peroxidase,6,rod-like,70,5,5,additional,naked,0,2-Aminocyclopentanecarboxylic acid,131.20,0.0095,0.000035700,TMB + H2O2,TMB,0.0010,0.1250,13.000,0.0080000,4,40
CdS,salt,peroxidase,6,rod-like,70,5,5,additional,naked,0,2-Aminocyclopentanecarboxylic acid,131.20,3.6200,0.000056000,H2O2 + TMB,H2O2,0.0010,39.0000,0.100,0.0080000,4,40
Au@C,comp,peroxidase,,spherical,180,180,180,naked,naked,0,0,0.00,0.0323,0.000086300,TMB + H2O2,TMB,0.0010,0.9000,264.600,0.0500000,4.5,25
Au@C,comp,peroxidase,,spherical,180,180,180,naked,naked,0,0,0.00,210.0000,0.000330000,H2O2 + TMB,H2O2,0.0010,"1,300.0000",0.146,0.0500000,4.5,25
CuInS2,bime,peroxidase,4,spherical,2.8,2.8,2.8,additional,naked,0,glutathione,307.33,2.0100,0.000097800,TMB + H2O2,H2O2,25.0000,250.0000,0.640,,3,30
WC,me,peroxidase,6,rod-like,175,40,40,naked,naked,0,0,0.00,0.2740,0.000068100,TMB + H2O2,TMB,0.0010,0.8000,400.000,0.0200000,4,25
WC,me,peroxidase,6,rod-like,175,40,40,naked,naked,0,0,0.00,119.6000,0.000071600,H2O2 + TMB,H2O2,0.0010,800.0000,0.600,0.0200000,4,25
Si,me,peroxidase,7,spherical,12,12,12,naked,naked,0,0,0.00,1.5020,0.000147200,TMB + H2O2,TMB,0.2000,1.6000,20.000,,4,40
Si,me,peroxidase,7,spherical,12,12,12,naked,naked,0,0,0.00,0.0650,0.000056500,H2O2 + TMB,H2O2,20.0000,200.0000,0.320,,4,40
CdS,salt,peroxidase,6,spherical,10,10,10,additional,naked,0,"3,5-Dimethylpyridine",107.15,0.0054,no,TMB + H2O2,TMB,0.0010,0.1160,13.000,0.0080000,4,40
CdS,salt,peroxidase,6,spherical,10,10,10,additional,naked,0,"3,5-Dimethylpyridine",107.15,6.5400,no,H2O2 + TMB,H2O2,0.0010,45.0000,0.100,0.0080000,4,40
FeP,salt,peroxidase,3,cubic,150,150,150,additional,naked,poly(N-Vinylpyrrolidone),0,30000.00,0.0653,0.000095400,TMB + H2O2,TMB,0.0500,0.9000,5.000,0.0100000,4,40
FeP,salt,peroxidase,3,cubic,150,150,150,additional,naked,poly(N-Vinylpyrrolidone),0,30000.00,2.9070,0.000069700,H2O2 + TMB,H2O2,1.0000,20.0000,0.100,0.0100000,4,40
Au,me,peroxidase,7,spherical,20,20,20,cover,b-Cyclodextrin,0,0,1135.00,0.0940,0.001460000,TMB + H2O2,TMB,0.0010,0.4000,6.000,,4.5,25
Au,me,peroxidase,7,spherical,20,20,20,cover,b-Cyclodextrin,0,0,1135.00,272.7800,0.002700000,H2O2 + TMB,H2O2,0.0010,"1,500.0000",0.120,,4.5,25
